Date,Retracement,Uptrend
23/08/2012,null,3.130000114
24/08/2012,null,3.119999886
27/08/2012,null,3.130000114
28/08/2012,null,3.119999886
29/08/2012,null,3.109999895
30/08/2012,null,3.089999914
31/08/2012,null,3.079999924
03/09/2012,null,3.079999924
04/09/2012,null,3.089999914
05/09/2012,null,3.069999933
06/09/2012,null,3.039999962
07/09/2012,null,3.089999914
10/09/2012,null,3.079999924
11/09/2012,null,3.079999924
12/09/2012,null,3.109999895
13/09/2012,null,3.109999895
14/09/2012,null,3.140000105
17/09/2012,null,3.160000086
18/09/2012,null,3.130000114
19/09/2012,null,3.151599884
20/09/2012,null,3.140000105
21/09/2012,null,3.150000095
24/09/2012,null,3.130000114
25/09/2012,null,3.140000105
26/09/2012,null,3.119999886
27/09/2012,null,3.140000105
28/09/2012,null,3.150000095
01/10/2012,null,3.140000105
02/10/2012,null,3.150000095
03/10/2012,null,3.140000105
04/10/2012,null,3.150000095
05/10/2012,3.190000057,null
08/10/2012,3.150000095,null
09/10/2012,3.140000105,null
10/10/2012,3.109999895,null
11/10/2012,3.069999933,null
12/10/2012,3.079999924,null
15/10/2012,3.079999924,null
16/10/2012,3.079999924,null
17/10/2012,3.099999905,null
18/10/2012,3.089999914,null
19/10/2012,3.089999914,null
22/10/2012,3.069999933,null
23/10/2012,3.079999924,null
24/10/2012,3.089999914,null
25/10/2012,3.099999905,null
29/10/2012,3.059999943,null
30/10/2012,3.069999933,null
31/10/2012,3.089999914,null
01/11/2012,3.059999943,null
02/11/2012,3.069999933,null
05/11/2012,3.079999924,null
06/11/2012,3.059999943,null
07/11/2012,3.079999924,null
08/11/2012,3.049999952,null
09/11/2012,3.059999943,null
12/11/2012,3.039999962,null
14/11/2012,3.019999981,null
15/11/2012,3,null
16/11/2012,2.99000001,null
19/11/2012,null,3
20/11/2012,null,3
21/11/2012,null,3
22/11/2012,null,3.019999981
23/11/2012,null,3.029999971
26/11/2012,null,3.049999952
27/11/2012,null,3.039999962
28/11/2012,null,3.049999952
29/11/2012,null,3.089900017
30/11/2012,null,3.119999886
03/12/2012,null,3.109999895
04/12/2012,null,3.099999905
05/12/2012,null,3.119999886
06/12/2012,null,3.109999895
07/12/2012,null,3.150000095
10/12/2012,null,3.180000067
11/12/2012,null,3.170000076
12/12/2012,null,3.180000067
13/12/2012,null,3.200000048
14/12/2012,null,3.200000048
17/12/2012,null,3.200000048
18/12/2012,null,3.220000029
19/12/2012,null,3.200000048
20/12/2012,null,3.210000038
21/12/2012,null,3.200000048
24/12/2012,null,3.210000038
26/12/2012,null,3.200000048
27/12/2012,null,3.230000019
28/12/2012,null,3.220000029
31/12/2012,null,3.220000029
02/01/2013,null,3.25999999
03/01/2013,null,3.269999981
04/01/2013,null,3.269999981
07/01/2013,null,3.269999981
08/01/2013,null,3.24000001
09/01/2013,null,3.25999999
10/01/2013,null,3.25999999
11/01/2013,null,3.269999981
14/01/2013,null,3.25999999
15/01/2013,null,3.25
16/01/2013,null,3.25999999
17/01/2013,null,3.25
18/01/2013,null,3.25
21/01/2013,null,3.279999971
22/01/2013,null,3.269999981
23/01/2013,null,3.289999962
24/01/2013,null,3.279999971
25/01/2013,null,3.309999943
28/01/2013,null,3.329999924
29/01/2013,null,3.309999943
30/01/2013,null,3.329999924
31/01/2013,null,3.329999924
01/02/2013,null,3.339999914
04/02/2013,null,3.349999905
05/02/2013,null,3.329999924
06/02/2013,null,3.339999914
07/02/2013,null,3.299999952
08/02/2013,null,3.319999933
13/02/2013,null,3.359999895
14/02/2013,null,3.349999905
15/02/2013,null,3.329999924
18/02/2013,null,3.349999905
19/02/2013,null,3.350300074
20/02/2013,null,3.359999895
21/02/2013,null,3.339999914
22/02/2013,null,3.329999924
25/02/2013,null,3.349999905
26/02/2013,null,3.299999952
27/02/2013,null,3.314699888
28/02/2013,null,3.329999924
01/03/2013,null,3.309999943
04/03/2013,null,3.289999962
05/03/2013,null,3.299999952
06/03/2013,null,3.339999914
07/03/2013,null,3.339999914
08/03/2013,null,3.329999924
11/03/2013,null,3.339999914
12/03/2013,null,3.359999895
13/03/2013,null,3.339999914
14/03/2013,null,3.329999924
15/03/2013,null,3.339999914
18/03/2013,null,3.309999943
19/03/2013,null,3.329999924
20/03/2013,null,3.309999943
21/03/2013,null,3.329999924
22/03/2013,null,3.309999943
25/03/2013,null,3.339999914
26/03/2013,null,3.339999914
27/03/2013,null,3.369999886
28/03/2013,null,3.369999886
01/04/2013,null,3.369999886
02/04/2013,null,3.369999886
03/04/2013,null,3.390000105
04/04/2013,null,3.380000114
05/04/2013,null,3.369999886
08/04/2013,null,3.349999905
09/04/2013,null,3.329999924
10/04/2013,null,3.329999924
11/04/2013,null,3.369999886
12/04/2013,null,3.359999895
15/04/2013,null,3.339999914
16/04/2013,null,3.339999914
17/04/2013,null,3.339999914
18/04/2013,null,3.359999895
19/04/2013,null,3.359999895
22/04/2013,null,3.359999895
23/04/2013,null,3.339999914
24/04/2013,null,3.339999914
25/04/2013,null,3.359999895
26/04/2013,null,3.410000086
29/04/2013,null,3.390000105
30/04/2013,null,3.390000105
02/05/2013,null,3.390000105
03/05/2013,null,3.420000076
06/05/2013,null,3.420000076
07/05/2013,null,3.430000067
08/05/2013,null,3.460000038
09/05/2013,null,3.460000038
10/05/2013,null,3.49000001
13/05/2013,null,3.49000001
14/05/2013,null,3.49000001
15/05/2013,null,3.5
16/05/2013,null,3.480000019
17/05/2013,null,3.49000001
20/05/2013,null,3.5
21/05/2013,null,3.49000001
22/05/2013,3.519999981,null
23/05/2013,3.440000057,null
27/05/2013,3.450000048,null
28/05/2013,3.450000048,null
29/05/2013,3.420000076,null
30/05/2013,3.369999886,null
31/05/2013,3.369999886,null
03/06/2013,3.349999905,null
04/06/2013,3.349999905,null
05/06/2013,3.309999943,null
06/06/2013,3.25999999,null
07/06/2013,3.24000001,null
10/06/2013,3.25999999,null
11/06/2013,3.230000019,null
12/06/2013,3.220000029,null
13/06/2013,3.170000076,null
14/06/2013,3.210000038,null
17/06/2013,3.24000001,null
18/06/2013,3.279999971,null
19/06/2013,3.269999981,null
20/06/2013,3.190000057,null
21/06/2013,3.170000076,null
24/06/2013,3.130000114,null
25/06/2013,3.109999895,null
26/06/2013,null,3.150000095
27/06/2013,null,3.180000067
28/06/2013,null,3.210000038
01/07/2013,null,3.200000048
02/07/2013,null,3.24000001
03/07/2013,null,3.190000057
04/07/2013,null,3.200000048
05/07/2013,null,3.220000029
08/07/2013,null,3.220000029
09/07/2013,null,3.230000019
10/07/2013,null,3.25
11/07/2013,null,3.299999952
12/07/2013,null,3.279999971
15/07/2013,null,3.289999962
16/07/2013,null,3.289999962
17/07/2013,null,3.269999981
18/07/2013,null,3.269999981
19/07/2013,null,3.25999999
22/07/2013,null,3.279999971
23/07/2013,null,3.299999952
24/07/2013,null,3.309999943
25/07/2013,null,3.299999952
26/07/2013,null,3.299999952
29/07/2013,null,3.289999962
30/07/2013,null,3.309999943
31/07/2013,null,3.289999962
01/08/2013,null,3.299999952
02/08/2013,null,3.299999952
05/08/2013,null,3.299999952
06/08/2013,null,3.289999962
07/08/2013,null,3.299999952
12/08/2013,null,3.309999943
